id,name,modified,image
1011334,3-D Man,2014-04-29T14:18:17-0400,http://i.annihil.us/u/prod/marvel/i/mg/c/e0/535fecbbb9784.jpg
1017100,A-Bomb (HAS),2013-09-18T15:54:04-0400,http://i.annihil.us/u/prod/marvel/i/mg/3/20/5232158de5b16.jpg
1009144,A.I.M.,2013-10-17T14:41:30-0400,http://i.annihil.us/u/prod/marvel/i/mg/6/20/52602f21f29ec.jpg
1010699,Aaron Stack,1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009146,Abomination (Emil Blonsky),2012-03-20T12:32:12-0400,http://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce18691cbf04.jpg
1016823,Abomination (Ultimate),2012-07-10T19:11:52-0400,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009148,Absorbing Man,2013-10-24T14:32:08-0400,http://i.annihil.us/u/prod/marvel/i/mg/1/b0/5269678709fb7.jpg
1009149,Abyss,2014-04-29T14:10:43-0400,http://i.annihil.us/u/prod/marvel/i/mg/9/30/535feab462a64.jpg
1010903,Abyss (Age of Apocalypse),1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/3/80/4c00358ec7548.jpg
1011266,Adam Destine,1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010354,Adam Warlock,2013-08-07T13:49:06-0400,http://i.annihil.us/u/prod/marvel/i/mg/a/f0/5202887448860.jpg
1010846,Aegis (Trey Rollins),1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/5/e0/4c0035c9c425d.jpg
1017851,Aero (Aero),2021-08-27T17:52:34-0400,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1012717,Agatha Harkness,2021-08-06T11:30:56-0400,http://i.annihil.us/u/prod/marvel/i/mg/c/a0/4ce5a9bf70e19.jpg
1011297,Agent Brand,2013-10-24T13:09:30-0400,http://i.annihil.us/u/prod/marvel/i/mg/4/60/52695285d6e7e.jpg
1011031,Agent X (Nijo),1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009150,Agent Zero,1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c0042121d790.jpg
1011198,Agents of Atlas,2016-02-03T10:25:22-0500,http://i.annihil.us/u/prod/marvel/i/mg/9/a0/4ce18a834b7f5.jpg
1011175,Aginar,1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011136,Air-Walker (Gabriel Lan),1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
